Unnamed: 0,english sentence,korean sentence,essential pos tagging,formal korean sentence
20,We listen to music in the car.,우리는 차에서 음악을 듣는다.,"['우리', '차', '음악', '듣']",우리는 차에서 음악을 듣습니다.
21,He plays the guitar.,그는 기타를 연주한다.,"['그', '기타', '연주', '하']",그건 기타를 연주합니다.
22,The sun sets in the evening.,태양은 저녁에 설정된다.,"['태양', '저녁', '설정', '되']",태양은 저녁에 설정되었다.
23,I drink milk with my cereal.,나는 시리얼과 함께 우유를 마신다.,"['나', '시리얼', '함께', '우유', '말']",저는 시리얼과 함께 우유를 마십니다.
24,She runs in the park.,그녀는 공원에서 달린다.,"['그녀', '공원', '달리']",그녀는 공원에서 달립니다.
25,They visit their grandparents.,그들은 조부모를 방문한다.,"['그', '들', '조부모', '방문', '하']",그들은 조부모를 방문하시네요.
26,My dad drives a black car.,아빠는 검은 차를 운전한다.,"['아빠', '걸', '차', '운전', '하']",아빠는 검은 차를 운전하시네요.
27,The dog is barking.,개가 짖고있다.,"['개', '짖', '있']",개가 짖고있어요.
28,We do homework after school.,우리는 방과 후 숙제를 한다.,"['우리', '방', '후', '숙제를합니']",우리는 방과 후 숙제를 해요.
29,He wears glasses.,그는 안경을 썼다.,"['그', '안경', '쓰']",그건 안경을 썼습니다.
30,She writes in her journal.,그녀는 일기에 글을 쓴다.,"['그녀', '일', '글', '쓰']",그녀는 일기에 글을 써요.
31,The stars twinkle at night.,별들이 밤에 반짝인다.,"['별', '들', '밤', '반짝이']",별들이 밤에 반짝인대요.
32,I like to eat ice cream.,나는 아이스크림을 먹는 것을 좋아한다.,"['나', '아이스크림', '먹', '것', '좋', '하']",저는 아이스크림을 먹는 것을 좋아합니다.
33,They plant flowers in the garden.,그들은 정원에 꽃을 심는다.,"['그', '들', '정원', '꽃', '심']",그들은 정원에 꽃을 심습니다.
34,The rain is falling.,비가 오고 있다.,"['비', '떨어지', '있']",비가 오고 있다.
35,We go shopping on Saturdays.,우리는 토요일에 쇼핑하러 간다.,"['우리', '토요일', '쇼핑하러갑니']",우리는 토요일에 쇼핑하러 갑니다.
36,He brushes his teeth before bed.,그는 잠자리에 들기 전에 이빨을 닦는다.,"['그', '잠자리', '들', '전', '이빨', '닦']",저는 잠자리에 들기 전에 이빨을 닦습니다.
37,She speaks two languages.,그녀는 두 가지 언어를 사용한다.,"['그녀', '두', '가지', '언어', '사용', '하']",그녀는 두 가지 언어를 사용합니다.
38,The airplane flies in the sky.,비행기가 하늘에서 날아간다.,"['비행기', '하늘', '날', '가']",비행기가 하늘에 날아갑니다.
39,I play with my friends at recess.,나는 쉬는 시간에 친구들과 논다.,"['나', '쉬', '시간', '친구들', '놀']",저는 쉬는 시간에 친구들과 논다.
40,They climb trees in the park.,그들은 공원에서 나무를 올라간다.,"['그', '들', '공원', '나무', '오르', '가']",그들은 공원에서 나무를 올라가요.
41,My sister sings in the choir.,내 동생은 합창단에서 노래한다.,"['내', '동생', '합창단', '노랗', '하']",제 동생은 합창단에서 노래해요.
42,The clock ticks.,시계가 똑딱거린다.,"['시계', '진드기']",시계가 똑딱거린다구요.
43,We clean our room every week.,우리는 매주 우리 방을 청소한다.,"['우리', '매주', '우리', '방', '청소', '하']",우리는 매주 저희 방을 청소합니다.
44,He rides his bike to school.,그는 자전거를 타고 학교로 가고 있다.,"['그', '자전거', '학교', '타', '있']",저는 자전거를 타고 학교로 가고 있습니다.
45,She helps her mom in the kitchen.,그녀는 부엌에서 엄마를 도와준다.,"['그녀', '부엌', '엄마', '돕', '주']",그녀는 부엌에서 엄마를 도와드려요.
46,The moon is bright.,달이 밝다.,"['달', '밝']",달이 밝다.
47,I watch cartoons on TV.,나는 TV에서 만화를 본다.,"['나', 'TV', '만화', '보']",저는 TV에서 만화를 봅니다.
48,They jump on the trampoline.,그들은 트램폴린을 뛰어 넘는다.,"['그', '들', '트램폴린', '뛰', '넘']",그들은 트램폴린을 뛰어 넘을겁니다.
49,My grandparents are kind.,조부모님은 친절하다.,"['조부모님', '친절', '하']",조부모님은 친절하시네요.
50,She wears a yellow hat.,그녀는 노란 모자를 쓰고 있다.,"['그녀', '노랗', '모자', '쓰', '있']",그녀는 노란 모자를 쓰고 있다.
51,We have a picnic in the park.,우리는 공원에서 피크닉을 한다.,"['우리', '공원', '피크닉', '있']",우리는 공원에서 피크닉을 합니다.
52,He draws pictures of animals.,그는 동물의 그림을 그린다.,"['그', '동물', '사진', '그리']",저는 동물의 그림을 그립니다.
53,The river flows.,강이 흐른다.,"['강', '흐르']",강이 흐른다.
54,I wear a green shirt.,나는 녹색 셔츠를 입는다.,"['나', '녹색', '셔츠', '입']",저는 녹색 셔츠를 입습니다.
55,They play hide-and-seek.,그들은 숨바꼭질을 한다.,"['그', '들', '숨바꼭질을합니']",그들은 숨바꼭질을 해요.
56,She shares her toys with others.,그녀는 장난감을 다른 사람들과 공유한다.,"['그녀', '장난감', '다르', '사람들', '공유', '하']",그녀는 장난감을 다른 사람들과 공유합니다.
57,The wind blows.,바람이 불고 있다.,"['바람', '불', '있']",바람이 불고 있다.
58,We go on a family trip.,우리는 가족 여행을 간다.,"['우리', '가족', '여행을갑니']",우리는 가족 여행을 갑니다.
59,He catches a ball.,그는 공을 잡는다.,"['그', '공', '잡']",공은 공을 잡아요.
60,She sleeps soundly at night.,그녀는 밤에 소리를 내며 잔다.,"['그녀', '밤', '소리', '나']",그녀는 밤에소리를 내고 잤어요.
61,The leaves fall from the trees in autumn.,잎은 가을에 나무에서 떨어진다.,"['잎', '가을', '나무', '떨', '지']",잎은 가을에 나무에서 떨어집니다.
62,I learn new words in English.,나는 영어로 새로운 단어를 배운다.,"['나', '영어', '새롭', '단어', '배우']",저는 영어로 새로운 단어를 배웁니다.
63,They ride a roller coaster.,그들은 롤러 코스터를 타고 있다.,"['그', '들', '롤러', '코스터', '타', '있']",그들은 롤러 코스터를 타고 있다.
64,My mom reads a bedtime story.,우리 엄마는 자기전에 이야기를 읽어준다.,"['우리', '엄마', '취침', '시간', '이야기', '읽']",우리 엄마는 자기전에 이야기를 읽어드려요.
65,She writes a letter to her friend.,그녀는 친구에게 편지를 쓴다.,"['그녀', '친구', '펴', '지', '쓰']",그녀는 친구에게 이메일을 써요.
66,The ocean waves crash on the shore.,해양 파도가 해안에서 부딪힌다.,"['해양', '파도', '해안', '충돌', '하']",해양 파도가 해안에서 부딪힌대요.
67,We eat pizza at the party.,우리는 파티에서 피자를 먹는다.,"['우리', '파티', '피자', '먹']",우리는 파티에서 피자를 먹습니다.
68,He likes to watch soccer games.,그는 축구 게임을보고 싶어한다.,"['그', '축구', '게임을보', '싶', '하']",축구 게임을보고 싶습니다.
69,She dances in the rain.,그녀는 비에서 춤을 추고 있다.,"['그녀', '비', '춤', '추', '있']",그녀는 비에서 춤을 추고 있다.
70,The snow falls in winter.,눈은 겨울에 떨어진다.,"['눈', '겨울', '떨', '지']",눈은 겨울에 떨어진다요.
71,I play with my pet dog.,나는 내 애완견과 논다.,"['나', '내', '애완견', '놀']",저는 제 애완견과 논다.
72,They make sandcastles at the beach.,그들은 해변에서 모래성을 만든다.,"['그', '들', '해변', '모래', '만들']",그들은 해변에서 모래성을 만들어요.
73,My dad fixes things around the house.,아빠는 집 주변에서 물건을 고쳤다.,"['아빠', '집', '주변', '물건', '고치', '시']",아빠는 집 주변에서 물건을 고쳤습니다.
74,The butterfly flies in the garden.,나비는 정원에서 날아간다.,"['나비', '정원', '날', '가']",나비는 정원에서 날아갑니다.
75,We have a family dinner.,가족 저녁 식사가 있다.,"['가족', '저녁', '식사', '있']",가족 저녁 식사가 있다.
76,He cooks pancakes for breakfast.,그는 아침 식사로 팬케이크를 요리한다.,"['그', '아침', '식사', '팬케이크', '요리', '하']",저는 아침 식사로 팬케이크를 요리합니다.
77,She colors pictures in her coloring book.,그녀는 컬러링북에 그림을 색칠한다.,"['그녀', '색칠', '공부', '그림', '색칠', '하']",그녀는 컬러링북에 그림을 색칠합니다.
78,The fire crackles in the fireplace.,불꽃이 벽난로에서 타오른다.,"['불', '벽난로', '딱딱하']",불꽃이 벽난로에서 타올랐어요.
79,I ride the school bus to school.,나는 스쿨 버스를 타고 학교에 간다.,"['나', '스쿨', '버스', '학교', '타', '있']",저는 스쿨 버스를 타고 학교에 갑니다.
80,They draw pictures with crayons.,그들은 크레용으로 그림을 그린다.,"['그', '들', '크레용', '그림', '그리']",그들은 크레용으로 그림을 그립니다.
81,My sister takes care of her plants.,언니는 식물을 돌본다.,"['언니', '식물', '돌', '보']",언니는 식물을 돌봅니다.
82,She jumps on a trampoline.,그녀는 트램폴린 위에서 뛴다.,"['그녀', '트램폴린', '뛰', '넘']",그녀는 트램폴린 위에서 뜁니다.
83,We sing happy birthday songs at parties.,우리는 파티에서 생일 축하 노래를 부른다.,"['우리', '파티', '생일', '축하', '노래', '부르']",우리는 파티에서 생일 축하 노래를 부릅니다.
84,He plays with a toy car.,그는 장난감 자동차를 가지고 논다.,"['그', '장난감', '자동차', '놀']",저는 장난감 자동차를 가지고 놉니다.
85,The birds chirp in the morning.,새들은 아침에 지저귄다.,"['새들', '아침', '삐걱', '것']",새들은 아침에 지저귄다고 해요.
86,I run in the race.,나는 경주에서 달린다.,"['나', '경주', '달리']",저는 경주에서 달립니다.
87,They eat popcorn at the movies.,그들은 영화에서 팝콘을 먹는다.,"['그', '들', '영화', '팝콘', '먹']",그들은 영화에서 팝콘을 먹습니다.
88,My mom bakes cookies in the oven.,우리 엄마는 오븐에서 쿠키를 굽는다.,"['우리', '엄마', '오븐', '쿠키', '굽']",저희 엄마는 오븐에서 쿠키를 굽습니다.
89,She waters the plants in the garden.,그녀는 정원에서 식물에 물을 준다.,"['그녀', '정원', '식물', '물리치']",그녀는 정원에서 식물에 물을 줍니다.
90,The thunder roars during a storm.,폭풍우가 몰아치는 동안 천둥이 친다.,"['폭풍', '동안', '천둥', '울부', '짖']",폭풍우가 몰아치는 동안 천둥이 칩니다.
91,We wear jackets in the winter.,우리는 겨울에 자켓을 착용한다.,"['우리', '겨울', '자켓', '착용', '하']",우리는 겨울에 자켓을 착용합니다.
92,He shares his lunch with a friend.,그는 친구와 점심을 나눠 먹는다.,"['그', '친구', '점심', '공유', '하']",그는 친구와 점심을 나누어 먹습니다.
93,She plays with a toy doll.,그녀는 장난감 인형을 갖고 논다.,"['그녀', '장난감', '인형', '연주', '하']",그녀는 장난감 인형을 가지고 놉니다.
94,The butterfly lands on a flower.,나비는 꽃 위에 앉는다.,"['나비', '꽃', '위', '착륙', '하']",나비는 꽃 위에 앉습니다.
95,I build a sandcastle at the beach.,나는 해변에 모래성을 짓는다.,"['나', '해변', '모', '캐스트', '지']",저는 해변에 모래성을 짓습니다.
96,They take pictures with a camera.,그들은 카메라로 사진을 찍는다.,"['그', '들', '카메라', '사진', '찍']",그들은 카메로 사진을 찍습니다.
97,My dad drives a big truck.,아빠는 큰 트럭을 운전한다.,"['아빠', '크', '트럭', '운전', '하']",아빠는 큰 트럭을 운전합니다.
98,She plays with a kite in the park.,그녀는 공원에서 연을 날린다.,"['그녀', '공원', '연', '연주', '하']",그녀는 공원에서 연을 날립니다.
99,We have a picnic with sandwiches.,우리는 샌드위치를 갖고 피크닉을 한다.,"['우리', '샌드위치', '피크닉', '가', '지', '있']",우리는 샌드위치를 갖고 피크닉을 합니다.
